"ID","MonthlyIncome"
871,5757.35266354316
872,2607.55448065893
873,12163.9779182565
874,2334.74740997339
875,2430.74366248588
876,5989.07511658019
877,5805.3507897994
878,2190.75303120466
879,2847.54511194015
880,12607.3255238385
881,9560.64186910288
882,2430.74366248588
883,5709.35453728691
884,5661.35641103067
885,5901.34704231189
886,5816.71525907519
887,6015.39334328865
888,5960.70963784392
889,5370.06659543323
890,2658.11238133924
891,5594.87553986252
892,8648.67747023426
893,8648.67747023426
894,5709.35453728691
895,9674.68817007964
896,8996.02882330375
897,8744.67372274675
898,16088.4464086822
899,5901.34704231189
900,2655.55260691518
901,2382.74553622963
902,5949.34516856813
903,6285.33205236183
904,2478.74178874212
905,16328.4370399634
906,5613.35828477443
907,9290.7031600297
908,6008.70776410016
909,2190.75303120466
910,2415.56197563396
911,19067.026342563
912,2706.11050759548
913,2430.74366248588
914,12957.1309707098
915,6008.70776410016
916,5130.07596415201
917,2511.55822814645
918,5661.35641103067
919,2329.7802897892
920,2670.73429376709
921,2473.77466855793
922,2142.75490494842
923,5322.06846917698
924,5645.43344054283
925,16808.4183025258
926,2574.73804125461
927,5901.34704231189
928,13236.3786029245
929,2142.75490494842
930,2478.74178874212
931,6141.3376735931
932,12756.3973403621
933,8696.67559649051
934,2238.75115746091
935,2142.75490494842
936,2286.74928371715
937,9098.71065500473
938,9284.01758084121
939,6026.85867616871
940,2329.7802897892
941,2814.72867253582
942,8744.67372274675
943,9560.64186910288
944,5816.71525907519
945,2281.78216353296
946,5775.40271200743
947,2329.7802897892
948,2511.55822814645
949,2754.10863385172
950,5805.3507897994
951,2847.54511194015
952,5805.3507897994
953,5871.39896451992
954,2382.74553622963
955,5322.06846917698
956,8392.7638684652
957,10195.9819797098
958,2574.73804125461
959,9224.65498530918
960,19786.9982364066
961,2655.55260691518
962,5594.87553986252
963,6111.38959580113
964,5741.42969305531
965,2463.5601018902
966,19259.0188475879
967,2607.55448065893
968,8696.67559649051
969,16616.4257975008
970,2334.74740997339
971,5757.35266354316
972,5967.39521703241
973,2334.74740997339
974,2415.56197563396
975,5864.71338533143
976,2559.55635440269
977,6399.37835333859
978,2655.55260691518
979,9236.01945458497
980,18979.7712153733
981,2569.77092107041
982,8936.66622777172
983,2382.74553622963
984,2521.77279481417
985,5805.3507897994
986,2751.54885942766
987,2415.56197563396
988,5757.35266354316
989,9428.01195960994
990,2511.55822814645
991,5789.42781931156
992,2607.55448065893
993,5741.42969305531
994,5661.35641103067
995,5709.35453728691
996,5930.86242365623
997,2511.55822814645
998,16463.6902934093
999,8792.67184900299
1000,2142.75490494842
1001,5933.42219808029
1002,5317.10134899279
1003,5642.87366611877
1004,6584.68527917508
1005,2847.54511194015
1006,5853.34891605564
1007,2377.77841604544
1008,5967.39521703241
1009,19123.765594142
1010,5701.08635904273
1011,9236.01945458497
1012,5738.86991863125
1013,6045.34142108061
1014,5418.06472168947
1015,5853.34891605564
1016,2478.74178874212
1017,2574.73804125461
1018,8696.67559649051
1019,8792.67184900299
1020,2367.56384937772
1021,5853.34891605564
1022,5757.35266354316
1023,5498.87928735004
1024,9482.69566505467
1025,16088.4464086822
1026,18883.7749628608
1027,5597.43531428658
1028,5661.35641103067
1029,5613.35828477443
1030,9112.73576230885
1031,5613.35828477443
1032,2850.10488636421
1033,12708.3992141058
1034,2415.56197563396
1035,5418.06472168947
1036,2415.56197563396
1037,5709.35453728691
1038,8728.75075225891
1039,12708.3992141058
1040,6015.39334328865
1041,2382.74553622963
1042,2655.55260691518
1043,8696.67559649051
1044,6285.33205236183
1045,2607.55448065893
1046,2142.75490494842
1047,5960.70963784392
1048,12861.1347181974
1049,2751.54885942766
1050,5757.35266354316
1051,10051.9876009411
1052,2478.74178874212
1053,5871.39896451992
1054,2655.55260691518
1055,2655.55260691518
1056,2382.74553622963
1057,5912.71151158767
1058,16136.4445349384
1059,6077.41657684901
1060,2655.55260691518
1061,5786.8680448875
1062,6056.7058903564
1063,6207.38584831362
1064,2425.77654230168
1065,6063.39146954489
1066,2334.74740997339
1067,3327.52637450258
1068,19459.7524779357
1069,5661.35641103067
1070,2473.77466855793
1071,2521.77279481417
1072,6248.69839538138
1073,2377.77841604544
1074,5967.39521703241
1075,5709.35453728691
1076,16424.4332924759
1077,19123.765594142
1078,5370.06659543323
1079,5642.87366611877
1080,6074.85680242495
1081,2751.54885942766
1082,2559.55635440269
1083,2329.7802897892
1084,6141.3376735931
1085,8900.03257079127
1086,9176.65685905294
1087,5709.35453728691
1088,2655.55260691518
1089,2655.55260691518
1090,5709.35453728691
1091,5757.35266354316
1092,6141.3376735931
1093,12756.3973403621
1094,5757.35266354316
1095,5775.40271200743
1096,6008.70776410016
1097,3183.53199573385
1098,2658.11238133924
1099,2478.74178874212
1100,6104.70401661265
1101,18883.7749628608
1102,5805.3507897994
1103,6045.34142108061
1104,9896.62875289658
1105,2751.54885942766
1106,2751.54885942766
1107,2799.5469856839
1108,5645.43344054283
1109,5757.35266354316
1110,5709.35453728691
1111,6207.38584831362
1112,12957.1309707098
1113,13005.1290969661
1114,6285.33205236183
1115,9482.69566505467
1116,2751.54885942766
1117,6488.68902666259
1118,5370.06659543323
1119,9434.69753879843
1120,2665.7671735829
1121,9176.65685905294
1122,16376.4351662196
1123,5642.87366611877
1124,16136.4445349384
1125,2463.5601018902
1126,2329.7802897892
1127,2382.74553622963
1128,5322.06846917698
1129,16136.4445349384
1130,2286.74928371715
1131,12708.3992141058
1132,16088.4464086822
1133,5967.39521703241
1134,2286.74928371715
1135,2574.73804125461
1136,2382.74553622963
1137,2910.72492504831
1138,5901.34704231189
1139,9032.66248028421
1140,15743.7183995657
1141,5967.39521703241
1142,5901.34704231189
1143,9578.69191756716
1144,5613.35828477443
1145,5837.4259455678
1146,5805.3507897994
1147,5178.07409040825
1148,2286.74928371715
1149,2511.55822814645
1150,6015.39334328865
1151,2559.55635440269
1152,5805.3507897994
1153,6122.8549286812
1154,2142.75490494842
1155,6392.6927741501
1156,12086.0317142083
1157,2521.77279481417
1158,5882.86429739998
1159,2559.55635440269
1160,5960.70963784392
1161,2655.55260691518
1162,8900.03257079127
1163,2622.73616751085
1164,8996.02882330375
1165,2751.54885942766
1166,2190.75303120466
1167,8954.716276236
1168,5709.35453728691
1169,2655.55260691518
1170,2751.54885942766
